"sl","dist_code","div_name","dist_name","thana_code","thana"
"557","62","Chattogram","Khagrachhari","6204","Mahalchhari"
"558","62","Chattogram","Khagrachhari","6205","Manikchhari"
"559","62","Chattogram","Khagrachhari","6206","Matiranga"
"560","62","Chattogram","Khagrachhari","6207","Panchhari"
"561","62","Chattogram","Khagrachhari","6208","Ramgarh"
"562","63","Chattogram","Rangamati","6301","Bagaichhari"
"563","63","Chattogram","Rangamati","6302","Barkal"
"564","63","Chattogram","Rangamati","6303","Belaichhari"
"565","63","Chattogram","Rangamati","6304","Juraichhari"
"566","63","Chattogram","Rangamati","6305","Kaptai"
"567","63","Chattogram","Rangamati","6306","Kawkhali (Betbunia)"
"568","63","Chattogram","Rangamati","6307","Langadu"
"569","63","Chattogram","Rangamati","6308","Naniarchar"
"570","63","Chattogram","Rangamati","6309","Rajasthali"
"571","63","Chattogram","Rangamati","6310","Rangamati Sadar"
"572","64","Chattogram","Bandarban","6401","Alikadam"
"573","64","Chattogram","Bandarban","6402","Bandarban Sadar"
"574","64","Chattogram","Bandarban","6403","Lama"
"575","64","Chattogram","Bandarban","6404","Naikhongchhari"
"576","64","Chattogram","Bandarban","6405","Rowangchhari"
"577","64","Chattogram","Bandarban","6406","Ruma"
"578","64","Chattogram","Bandarban","6407","Thanchi"
